                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4475,                 2.9472,                 1.6804,                 0.5274,                 0.2014,                0.13404,                0.07466,                  1.916,                 3.6237,                 2.0075,             0.00036802,             0.00036802,             0.00036802
                      2,                 1.4667,                 2.5135,                 1.6922,                0.52099,                0.24571,                 0.1074,                0.05232,                 2.0253,                  3.459,                 2.0906,             0.00073104,             0.00073104,             0.00073104
                      3,                 1.4644,                 2.3922,                 1.6959,                0.06934,                0.43195,                0.08123,                0.02789,                 2.0957,                 3.8439,                 2.1258,              0.0010867,              0.0010867,              0.0010867
                      4,                 1.4602,                 2.2742,                 1.6951,                0.28588,                0.07857,                 0.0481,                0.01721,                 2.1036,                 3.5614,                  2.342,               0.001078,               0.001078,               0.001078
                      5,                 1.4258,                 2.2024,                 1.6715,                0.04927,                0.27714,                0.14418,                0.03697,                 1.8927,                 3.1544,                 1.9792,               0.001067,               0.001067,               0.001067
                      6,                 1.3844,                  2.102,                 1.6481,                0.18637,                0.28714,                0.25144,                0.12453,                 2.0387,                 3.9764,                 2.1507,               0.001056,               0.001056,               0.001056
                      7,                 1.3458,                 2.0331,                 1.6274,                0.15513,                0.45987,                0.16219,                0.05184,                 1.8925,                 3.0948,                 1.9962,               0.001045,               0.001045,               0.001045
                      8,                 1.3464,                 2.0366,                  1.622,                0.08872,                 0.1387,                0.06914,                0.02645,                 2.0884,                 3.2954,                 2.1684,               0.001034,               0.001034,               0.001034
                      9,                 1.3093,                 1.9692,                 1.6059,                 0.1749,                0.35675,                0.12815,                0.06296,                 2.0086,                 3.6028,                 2.0863,               0.001023,               0.001023,               0.001023
                     10,                 1.2759,                 1.9022,                 1.5709,                0.10094,                 0.1239,                0.05324,                0.02149,                 2.1671,                 3.4014,                 2.2051,               0.001012,               0.001012,               0.001012
                     11,                 1.2423,                 1.8152,                 1.5426,                0.20884,                0.35636,                0.32724,                0.21254,                 1.9206,                 2.7964,                 1.9775,               0.001001,               0.001001,               0.001001
